,year,title
1512,2020,Transplantation
1516,2021,Journal of the Academy of Nutrition and Dietetics
1518,2020,American Journal of Perinatology
1520,2019,HortTechnology
1525,2017,Repository for Publications and Research Data (ETH Zurich)
1526,2017,Americanae (AECID Library)
1527,2017,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
1529,2021,ISPRS Journal of Photogrammetry and Remote Sensing
1530,2023,Journal of Nutritional Science
1536,2023,Journal of School Health
1538,2019,Rural Sociology
1539,2018,Health Affairs
1543,2019,Journal of Animal Science and Biotechnology/Journal of animal science and biotechnology
1548,2022,Ecosphere
1550,2023,Agricultural Water Management
1551,2021,Journal of Housing Research
1552,2018,Anthropocene
1554,2019,Journal of the European Economic Association
1557,2021,Politics and Religion
1558,2021,Duo Research Archive (University of Oslo)
1559,2021,Oxford University Research Archive (ORA) (University of Oxford)
1560,2020,Obstetrics and Gynecology
1561,2022,Integrated Environmental Assessment and Management
1564,2017,"Technical University of Denmark, DTU Orbit (Technical University of Denmark, DTU)"
1566,2017,CentAUR (University of Reading)
1568,2018,The Lancet
1569,2018,RVC Research Online (Royal Veterinary College)
1570,2018,Open Access at Essex (University of Essex)
1571,2018,Sussex Research Online (University of Sussex)
1573,2018,Greenwich Academic Literature Archive (University of Greenwich)
1574,2018,"White Rose Research Online (University of Leeds, The University of Sheffield, University of York)"
1575,2018,Spiral (Imperial College London)
1576,2018,University of North Texas Digital Library (University of North Texas)
1578,2018,LSHTM Research Online (London School of Hygiene and Tropical Medicine)
1582,2023,Environmental Health Perspectives
1584,2023,eScholarship (California Digital Library)
1586,2021,European Scientific Journal ESJ
1587,2019,Irrigation and Drainage
1588,2019,OSF Preprints (OSF Preprints)
1591,2020,International Journal of Epidemiology
1596,2018,Philosophical Transactions of the Royal Society A Mathematical Physical and Engineering Sciences
1600,2021,American Journal of Ophthalmology
1604,2022,Annual Review of Resource Economics
1605,2022,OpenDocs (Institute of Development Studies)
1606,2017,Landscape and Urban Planning
1607,2018,Scientific investigations report
1608,2019,Precision Agriculture
1609,2018,Agricultural Systems
1611,2023,PLOS Climate
1612,2017,Qualitative Health Research
1615,2021,PLoS ONE
1616,2021,ScholarWorks -A service of University of Vermont Libraries (University of Vermont)
1620,2017,Genealogy
1622,2017,ScholarWorks @ UTRGV (The University of Texas Rio Grande Valley)
1623,2021,Agricultural Systems
1624,2023,SocArXiv (OSF Preprints)
1625,2019,Drug and Alcohol Dependence
1631,2020,Earth system science data
1634,2018,Society & Natural Resources
1635,2018,Digital Commons - USU (Utah State University)
1636,2019,Journal of Agromedicine
1640,2022,The Professional Geographer
1645,2017,Agricultural Sciences
1647,2023,Environmental Research
1650,2024,Discover Data
1657,2020,Journal of Political Economy
1660,2022,BMC Research Notes
1665,2017,Frontiers in Ecology and Evolution
1667,2022,SSRN Electronic Journal
1668,2022,"AgEcon Search (University of Minnesota, USA)"
1669,2018,Water Resources and Economics
1670,2019,Nature
1673,2018,Journal of African American Studies
1674,2022,Wildlife Society Bulletin
1675,2019,Energy Economics
1678,2018,Diabetes Care
1681,2018,Carolina Digital Repository (University of North Carolina at Chapel Hill)
1684,2017,The Holocene
1688,2020,Ecosphere
1690,2020,Bepress (Digital Commons)
1693,2018,Journal of Political Economy
1694,2018,London School of Economics and Political Science Research Online (London School of Economics and Political Science)
1702,2018,Mitigation and Adaptation Strategies for Global Change
1703,2024,Land
1705,2020,International Journal of Health Geographics
1708,2023,JAMA Otolaryngology–Head & Neck Surgery
1711,2017,Applied Energy
1719,2018,International Journal of Hygiene and Environmental Health
1723,2020,The Quarterly Journal of Economics
1724,2020,Open Research Exeter (University of Exeter)
1728,2017,VTechWorks (Virginia Tech)
1732,2019,Preventing Chronic Disease
1737,2018,Safety Science
1738,2019,American Journal of Transplantation
1739,2021,Data in Brief
1741,2021,ODU Digital Commons (Old Dominion University)
1743,2019,The Journal of Economic History
1744,2019,International Journal of Geographical Information Science
1746,2021,European Countryside
1748,2020,Sustainable Water Resources Management
1749,2019,Environmental Health
1752,2018,Land
1756,2019,SocArXiv (OSF Preprints)
1760,2018,The Journal of Peasant Studies
1761,2018,Journal of Land Use Science
1762,2020,Journal of Racial and Ethnic Health Disparities
1765,2021,Proceedings of the ACM on Human-Computer Interaction
1770,2019,Mitigation and Adaptation Strategies for Global Change
1771,2019,American Journal of Obstetrics and Gynecology
1772,2018,Proceedings of the ACM on Human-Computer Interaction
1773,2017,Global Change Biology
1777,2018,Landscape and Urban Planning
1780,2018,Natural Hazards
1783,2018,Journal of Cleaner Production
1785,2019,International Journal of Wildland Fire
1786,2023,Zenodo (CERN European Organization for Nuclear Research)
1787,2023,DataCite API
1789,2017,ScholarWorks (Boise State University)
1792,2018,Conservation Genetics Resources
1793,2018,ORCA Online Research @Cardiff (Cardiff University)
1794,2018,The RAND Journal of Economics
1797,2019,Journal of Agribusiness in Developing and Emerging Economies
1798,2017,The Journal of Rural Health
1805,2017,Current Gastroenterology Reports
1807,2019,Current Developments in Nutrition
1809,2019,Journal of the American Heart Association
1813,2019,Latin American Research Review
1815,2019,Conicet
1816,2017,International Journal of Biometeorology
1818,2018,Fertility and Sterility
1819,2017,Journal of Wildlife Management
1820,2018,Journal of Environmental Quality
1824,2019,Landscape and Urban Planning
1831,2020,Remote Sensing of Environment
1832,2019,Journal of Affective Disorders
1834,2017,Educational Researcher
1835,2017,Women s Health Issues
1843,2019,Biofuels Bioproducts and Biorefining
1850,2021,Circulation
1860,2018,MMWR Morbidity and Mortality Weekly Report
1864,2021,Sustainable development goals series
1865,2023,Environmental Toxicology and Chemistry
1867,2019,Journal of Integrated Pest Management
1868,2019,"University Digital Conservancy (University of Minnesota, Duluth)"
1870,2017,Foodborne Pathogens and Disease
1874,2017,Human Dimensions of Wildlife
1875,2017,Journal of Applied Ecology
1877,2018,Agricultural and Forest Meteorology
1880,2018,UA Campus Repository (The University of Arizona)
1881,2018,IUScholarWorks Open (Indiana University)
1883,2019,Geoderma
1884,2017,Land Use Policy
1887,2019,The Research Repository @ WVU (West Virginia University)
1889,2017,Nature Ecology & Evolution
1891,2017,NERC Open Research Archive (Natural Environment Research Council)
1895,2021,BMC Public Health
1898,2018,Applied Energy
1901,2017,Journal of the American Veterinary Medical Association
1903,2017,IslandScholar (University of Prince Edward Island)
1905,2018,Journal of Hunger & Environmental Nutrition
1907,2018,Journal of Flood Risk Management
1908,2019,Urban forestry & urban greening
1911,2019,Journal of Applied Meteorology and Climatology
1912,2024,Nature Reviews Earth & Environment
1914,2018,"AgEcon Search (University of Minnesota, USA)"
1915,2017,Emerging infectious diseases
1925,2019,Social Forces
1926,2019,Digital Access to Scholarship at Harvard (DASH) (Harvard University)
1928,2023,Scientific Data
1934,2017,Wiley StatsRef: Statistics Reference Online
1935,2019,Nutrition Reviews
1937,2020,Telecommunications Policy
1938,2018,Asian-Australasian Journal of Animal Sciences
1946,2019,Journal of Environmental Planning and Management
1947,2018,Social Science History
1951,2018,Journal of Community Health
1954,2019,American Journal of Sociology
1955,2021,Scientific Reports
1958,2017,PLoS ONE
1963,2018,Cancer Epidemiology
1967,2018,Ecological Applications
1969,2019,The Extractive Industries and Society
1972,2018,Forests
1977,2017,Carbon Balance and Management
1983,2017,Natural resource management and policy
1984,2018,Health & Place
1986,2017,Nicotine & Tobacco Research
1989,2017,Ecological Applications
1996,2019,Human Ecology Review
2003,2019,Growth and Change
2004,2023,Frontiers in Veterinary Science
2007,2022,Historia Agraria Revista de agricultura e historia rural
2008,2022,Repositori UJI (Universitat Jaume I)
2009,2018,Biomass and Bioenergy
2010,2018,Accident Analysis & Prevention
2013,2021,Montana State University ScholarWorks (Montana State University)
2014,2021,Zenodo (CERN European Organization for Nuclear Research)
2016,2017,International Journal of Remote Sensing
2017,2017,Ecosystem Services
2018,2018,The International Food and Agribusiness Management Review
2019,2018,Informationszentrum Lebenswissenschaften (ZB MED)
2020,2020,Nature Energy
2022,2018,Ethnicity and Health
2026,2018,Animals
2031,2017,World Development
2032,2018,Proceedings of the National Academy of Sciences
2037,2019,Annals of the American Association of Geographers
2038,2020,Journal of General Internal Medicine
2041,2017,Omega
2042,2018,Research Policy
2045,2018,cIRcle (University of British Columbia)
2047,2017,Diversity and Distributions
2048,2017,Society & Natural Resources
2049,2019,Public Health Reports
2055,2020,VTechWorks (Virginia Tech)
2056,2017,Journal of Mammalogy
2061,2018,Medical Care Research and Review
2064,2018,Growth and Change
2070,2019,Nutrients
2074,2019,TSpace (University of Toronto)
2076,2021,The World Bank Research Observer
2078,2019,Agriculture and Human Values
2080,2021,Journal of Dairy Science
2081,2021,Archivio Istituzionale della Ricerca (Universita Degli Studi Di Milano)
2084,2020,PhilPapers (PhilPapers Foundation)
2088,2017,PLoS neglected tropical diseases
2093,2019,Urban Studies
2094,2021,Applied Economic Perspectives and Policy
2095,2017,Urban forestry & urban greening
2097,2018,Food Chemistry
2100,2017,Environment and Planning A Economy and Space
2101,2018,World Development
2102,2018,Environmental and Resource Economics
2103,2018,Ecological Indicators
2104,2018,Earth Interactions
2105,2018,Columbia Academic Commons (Columbia University)
2106,2019,Global Change Biology
2108,2020,International Journal of Behavioral Nutrition and Physical Activity
2113,2017,Transport Policy
2114,2020,The Journal of Economic Perspectives
2116,2018,Horticulturae
2121,2020,Revista Brasileira de Milho e Sorgo
2122,2018,Annual Review of Resource Economics
2123,2017,Euphytica
2124,2018,Journal of Nutrition
2131,2018,Weather Climate and Society
2136,2017,Journal of Industrial Ecology
2137,2017,The Journal of the American Board of Family Medicine
2141,2017,Obesity Science & Practice
2146,2018,The Journal of Economic History
2147,2019,Ecosystem Services
2150,2018,Social Science & Medicine
2153,2018,SocArXiv (OSF Preprints)
2155,2021,Repository for Publications and Research Data (ETH Zurich)
2156,2021,HAL (Le Centre pour la Communication Scientifique Directe)
2158,2019,The Journal of Agricultural Education and Extension
2160,2018,Food Security
2161,2017,Land Economics
2162,2017,Digital Collections of Colorado (Colorado State University)
2165,2020,Built Heritage
2167,2017,Energy Economics
2169,2018,Annals of the American Thoracic Society
2174,2019,GeoJournal
2175,2022,Current Epidemiology Reports
2178,2023,Agricultural Economics
2179,2023,RePEc: Research Papers in Economics
2180,2024,Urban agriculture
2184,2017,Nutrition Today
2188,2017,International Journal of Health Geographics
2191,2017,Arizona State University Library Digital Repository (Arizona State University)
2193,2017,"MURAL - Maynooth University Research Archive Library (National University of Ireland, Maynooth)"
2195,2017,Precision Agriculture
2199,2018,Workplace Health & Safety
2203,2017,Journal of Consumer Affairs
2208,2019,Foodborne Pathogens and Disease
2213,2019,Urban Ecosystems
2214,2018,Environmental Modelling & Software
2219,2020,Bulletin of the Ecological Society of America
2220,2017,Journal of the Air & Waste Management Association
2223,2017,INDIGO (University of Illinois at Chicago)
2225,2017,Ecological Indicators
2229,2017,Food Quality and Preference
2230,2022,Food Policy
2235,2019,AMBIO
2237,2019,Oxford University Research Archive (ORA) (University of Oxford)
